Age;Gender;Weight (kg);Height (m);Max_BPM;Avg_BPM;Resting_BPM;Session_Duration (hours);Calories_Burned;Workout_Type;Fat_Percentage;Water_Intake (liters);Workout_Frequency (days/week);Experience_Level;BMI;Daily meals frequency;Physical exercise;Carbs;Proteins;Fats;Calories;meal_name;meal_type;diet_type;sugar_g;sodium_mg;cholesterol_mg;serving_size_g;cooking_method;prep_time_min;cook_time_min;rating;Name of Exercise;Sets;Reps;Benefit;Burns Calories (per 30 min);Target Muscle Group;Equipment Needed;Difficulty Level;Body Part;Type of Muscle;Workout;BMI_calc;cal_from_macros;pct_carbs;protein_per_kg;pct_HRR;pct_maxHR;cal_balance;lean_mass_kg;expected_burn;Burns Calories (per 30 min)_bc;Burns_Calories_Bin
45.94;Female;88.55;1.63;166.55;145.55;66.25;0.75;661.2;Cardio;32.440.783.219.435.700;3.48;1.99;1.02;33.33;1.99;0.03;237.85;95.51;63.73;2195.0;Other;Snack;Low-Carb;12.8;342.88;181.28;432.42;Roasted;9.9;79.92;4.12;Lateral Raises;4.99;21.05;Improves shoulder health and posture;367.04;Chest, Triceps;Bench or Step;Advanced;Abs;Middle;Seated cable rows;3.332.831.495.351.720;1907.01;0.4988961777861678;1.078.599.661.208.350;0.7906281156530409;0.8739117382167517;1533.8;5.982.368.645.918.960;5.505.600.000.000.000;1,28E+36;Very High
56.98;Male;75.51;1.63;160.73;131.22;59.92;0.69;456.23;Yoga;28.271.807.927.625.500;2.3;2.99;1.02;28.42;2.98;-0.0;180.32;73.39;48.61;2238.0;Other;Breakfast;Vegetarian;27.53;1151.05;177.68;491.64;Baked;24.04;116.55;3.91;Plank;4.01;18.03;Strengthens lower body;335.41;Core;Bench or Chair;Advanced;Chest;Middle;Hammer curl;2.842.033.949.339.450;1452.33;0.4966364393767257;0.9719242484439148;0.7072711040571372;0.8164001742051888;1781.77;5.416.195.783.384.990;4.628.658;6,11E+34;Low
28.0;Male;102.1;1.83;168.84;136.27;64.14;1.09;957.46;Cardio;32.806.193.826.286.800;2.69;2.98;1.0;30.49;3.03;-0.01;215.51;86.18;57.16;2531.0;Other;Snack;Vegan;29.65;1110.69;215.71;120.67;Fried;34.52;67.79;4.99;Wall Angels;3.0;19.9;Improves core stability;190.22;Triceps, Chest;Step or Box;Beginner;Shoulders;Wrist Flexors;Seated cable rows;3.048.762.280.151.690;17.211.999.999.999.900;0.5008366256100395;0.8440744368266406;0.6889207258834766;0.8070954750059228;1573.54;6.860.487.610.336.110;4.146.796.000.000.000;5,97E+32;Low
51.1;Male;109.3;1.78;182.26;157.04;64.05;0.53;349.8;Yoga;35.0;3.31;2.97;1.0;34.5;3.01;-0.02;179.97;71.32;47.63;2875.0;Other;Breakfast;Vegan;28.66;135.19;243.03;136.72;Grilled;11.39;20.26;4.82;Bicycle Crunches;4.98;19.07;Builds lower body power;345.25;Lower Abs;Low Bar or TRX;Advanced;Abs;Grip Strength;Chest flyes;344.969.069.561.924;1433.83;0.5020678881038896;0.652516010978957;0.7866508755604433;0.8616262482168331;2525.2;71.045;365.965;7,74E+34;Medium
53.89;Male;86.1;1.95;194.96;139.59;63.96;1.16;1021.73;Cardio;2.833.783.910.582.460;3.38;2.02;1.01;22.64;1.99;-0.01;269.39;107.46;71.76;2274.0;Other;Breakfast;Paleo;18.79;2393.78;279.68;255.46;Baked;50.77;89.01;1.91;Mountain Climbers;3.99;20.86;Builds upper body strength;358.89;Chest, Triceps, Shoulders;Resistance Band or Cable Machine;Intermediate;Forearms;Posterior;Towel pull-up;2.264.299.802.761.340;2153.24;0.5004365514294737;124.808.362.369.338;0.5773282442748091;0.7159930242100944;1252.27;6.170.112.052.988.490;8.326.247.999.999.990;1,06E+36;High
58.19;Male;65.15;1.63;166.65;120.96;52.92;1.13;1221.42;Strength;28.897.270.249.432.600;1.98;3.03;2.01;24.52;3.0;-0.02;244.19;98.03;65.28;1565.0;Other;Breakfast;Balanced;20.96;1739.77;16.08;150.16;Steamed;10.9;44.71;1.76;Tricep Extensions;4.0;21.99;Targets obliques and improves core rotation;331.21;Quadriceps, Calves, Glutes;Low Bar or TRX;Intermediate;Chest;Triceps;Leg raises;24.521.058.376.303.200;1956.4;0.4992639542015947;15.046.815.042.210.200;0.5982590345555262;0.7258325832583258;3.435.799.999.999.990;4.632.342.843.249.460;7.485.345.999.999.990;5,51E+34;Low
28.29;Female;76.93;1.61;161.05;161.79;70.09;1.16;1531.2;HIIT;31.957.970.216.162.900;2.32;2.98;2.0;29.68;2.0;-0.03;179.93;72.17;47.93;2070.0;Other;Dinner;Balanced;7.39;2475.32;74.41;148.05;Steamed;7.55;7.6;2.61;Zottman Curls;5.01;19.03;Builds calf muscles;370.27;Rear Deltoids, Upper Back;Dumbbells;Advanced;Shoulders;Posterior;Barbell hip thrusts;29.678.638.941.398.800;1439.77;0.4998853983622384;0.938125568698817;1.008.135.444.151.270;1.004.594.846.321.010;538.8;52.344.733.512.705.800;8.590.263.999.999.990;1,37E+36;Very High
57.63;Female;59.91;1.58;166.05;165.03;56.28;1.97;2048.8;Cardio;2.393.431.570.010.370;2.69;4.01;3.0;24.0;4.01;0.02;189.12;74.62;50.48;1752.0;Other;Snack;Balanced;0.19;647.19;279.22;399.49;Grilled;37.34;45.25;3.79;Glute Bridges;3.98;16.02;Targets upper chest;349.45;Core;Wall;Advanced;Legs;Lower;Bicycle crunches;23.998.557.923.409.700;1509.28;0.5012191243506838;12.455.349.691.203.400;0.9907078436731348;0.9938572719060524;-2.968.000.000.000.000;45.570.951.464.067.800;1.376.833;8,54E+34;High
32.93;Male;58.21;1.53;179.95;125.8;50.34;1.84;2154.46;Strength;26.141.376.047.879.400;2.68;5.0;3.01;24.87;4.01;0.01;258.98;103.56;69.62;1620.0;Other;Breakfast;Vegan;14.93;133.17;37.09;104.39;Fried;15.33;110.55;2.2;Lateral Raises;4.98;22.03;Builds shoulder width;356.2;Core;None or Dumbbell;Beginner;Arms;Lats;Romanian deadlifts;2.486.650.433.593.910;2076.74;0.4988202663790363;17.790.757.601.786.600;0.5822081629503897;0.6990830786329536;-534.46;42.993.105.002.529.300;1.310.816;9,98E+34;High
21.96;Female;88.36;1.62;173.93;161.69;68.81;1.88;2196.22;Strength;3.287.611.115.395.790;3.51;4.98;2.98;33.67;4.01;4.0;399.47;159.07;106.16;2715.0;Other;Breakfast;Balanced;25.51;260.01;272.95;426.38;Steamed;34.38;36.38;3.05;Squats;5.01;24.03;Improves posture and back strength;351.2;Rear Deltoids, Upper Back;None or Dumbbell;Advanced;Back;Wrist Extensors;Romanian deadlifts;3.366.864.807.194.020;3189.6;0.5009656383245549;18.002.489.814.395.600;0.8835616438356163;0.9296268613810154;5.187.800.000.000.000;5.931.066.818.436.270;1.320.512;8,89E+34;High
47.11;Male;86.89;1.64;176.77;164.69;49.75;2.0;2083.2;Cardio;2.960.187.737.080.620;3.51;4.01;3.02;32.31;2.0;-0.03;230.92;92.47;61.94;2461.0;Other;Dinner;Vegetarian;17.72;2436.95;222.83;228.93;Raw;14.74;92.03;2.27;Leg Raises;5.0;15.06;Enhances full-body coordination and stability;344.9;Back, Hamstrings, Glutes;None or Dumbbells;Advanced;Back;Lateral;Military press;3.230.591.909.577.630;1851.02;0.4990113559010707;1.064.219.127.632.630;0.9048968666351754;0.9316626124342364;3.778.000.000.000.000;6.116.892.875.250.640;1379.6;7,67E+34;Medium
58.85;Male;123.69;1.88;177.16;161.62;66.79;1.29;1705.64;HIIT;3.454.334.267.815.600;2.59;4.0;2.02;35.0;3.01;-0.0;296.42;117.32;78.86;3337.0;Other;Lunch;Keto;4.96;2050.55;144.2;235.07;Boiled;17.23;6.33;2.07;Pull-ups;4.01;19.87;Targets lower chest;358.41;Shoulders;Low Bar or TRX;Beginner;Back;Upper;Barbell squats;3.499.603.893.164.320;2364.7;0.50140821245824;0.9485002829654782;0.8592008698015766;0.9122826823210658;1631.36;8.096.333.944.138.870;9.246.978;1,05E+36;High
50.77;Female;102.99;1.77;192.9;130.33;59.07;1.21;1462.77;HIIT;31.962.883.662.902.300;3.4;1.99;1.0;32.87;4.02;0.0;312.52;125.01;83.33;2748.0;Other;Lunch;Vegetarian;8.51;1111.47;86.15;282.14;Grilled;42.4;94.86;1.27;Step-ups;3.98;14.94;Builds explosive power;337.65;Calves;Pull-up Bar;Beginner;Forearms;Lower Chest;Lateral raises;3.287.369.529.828.590;2500.09;0.5000139994960181;1.213.807.165.744.240;0.5324665620563402;0.6756350440642821;1285.23;700.714.261.155.769;8.171.129.999.999.990;6,45E+34;Medium
59.43;Female;96.56;1.71;182.99;149.69;61.76;0.56;553.39;Strength;35.0;2.93;3.0;1.0;33.02;2.01;1.01;272.7;110.34;73.27;2563.0;Other;Dinner;Keto;45.73;1732.95;53.46;463.11;Grilled;7.0;44.36;2.62;Deadlift;5.0;15.87;Improves balance and leg strength;366.75;Quadriceps;Dumbbells;Beginner;Shoulders;Upper;Lateral raises;3.302.212.646.626.310;2191.59;0.4977208328200074;1.142.709.196.354.590;0.7253155159613957;0.8180228427782938;2009.61;62.764;4.107.600.000.000.000;1,27E+36;Very High
31.66;Female;96.59;1.96;188.93;136.74;49.78;1.36;1796.7;HIIT;2.920.485.465.205.830;3.4;3.06;2.01;25.14;2.99;1.02;276.08;110.11;74.09;2417.0;Other;Snack;Vegan;11.88;157.82;216.55;404.34;Fried;6.68;6.45;4.4;Russian Twists;5.0;18.98;Isolates and strengthens triceps;371.45;Lower Back, Glutes;Bench or Step;Beginner;Back;Grip Strength;Military press;25.143.169.512.703.000;2211.57;0.4993375746641526;1.139.973.082.099.590;0.6249371182177507;0.723760122796803;620.3;6.838.103.089.157.680;1.010.344;1,41E+36;Very High
27.71;Female;55.92;1.5;193.15;128.31;55.94;1.94;1510.87;Yoga;2.619.554.688.164.880;2.7;5.0;2.98;24.85;3.0;-0.01;162.62;63.82;42.73;1573.0;Other;Lunch;Vegetarian;10.67;1549.77;279.49;206.28;Boiled;37.89;27.68;3.95;Bicycle Crunches;5.0;20.05;Builds explosive upper body power;327.96;Quadriceps;Resistance Band or Cable Machine;Beginner;Arms;Lats;Chest flyes;2.485.333.333.333.330;1290.33;0.5041191013151675;11.412.732.474.964.200;0.5274396909846221;0.6643023556821124;6.213.000.000.000.010;4.127.145.018.378.190;12.724.848;5,08E+35;Low
48.22;Male;86.75;1.76;183.23;155.31;66.95;1.8;2575.98;HIIT;28.763.902.172.053.800;3.49;4.97;3.01;28.01;3.02;2.01;349.81;138.89;92.65;2458.0;Other;Breakfast;Vegan;3.33;1065.18;284.16;394.9;Grilled;50.68;16.61;3.61;Plank;4.0;25.02;Builds explosive upper body power;366.77;Back, Core, Shoulders;Resistance Band or Cable Machine;Beginner;Chest;Lateral;Bicep Curls;28.005.552.685.950.400;2788.65;0.5017625015688595;16.010.374.639.769.400;0.759889920880633;0.8476232058069094;-11.798.000.000.000.000;6.179.731.486.574.320;1.320.372;1,27E+34;Very High
48.25;Male;115.34;1.86;174.93;141.37;56.14;1.37;1654.69;HIIT;32.067.034.207.136.200;3.61;3.02;1.0;33.34;3.01;-0.01;282.34;112.39;75.04;3167.0;Other;Breakfast;Low-Carb;34.7;1182.8;229.9;255.5;Grilled;40.77;108.97;2.25;Push Ups;5.02;24.06;Builds chest strength;349.06;Core, Obliques;Wall;Advanced;Legs;Wrist Extensors;Overhead triceps extensions;3.333.911.434.847.950;2254.28;0.5009847933708323;0.9744234437315762;0.7174846367539355;0.808151832161436;1512.31;7.835.388.274.548.900;9.564.244;8,46E+33;High
58.9;Male;71.1;1.68;192.18;121.09;65.73;1.18;1132.8;Cardio;2.793.509.558.844.420;1.9;2.95;2.0;25.19;1.98;0.01;268.31;106.31;71.16;1893.0;Other;Lunch;Low-Carb;32.6;1474.43;106.85;259.92;Boiled;27.97;56.22;4.41;Bench Press;5.0;23.05;Isolates triceps;357.42;Core, Shoulders, Legs;Parallel Bars or Chair;Advanced;Forearms;Middle;Barbell rows;25.191.326.530.612.200;2138.92;0.5017672470218615;14.952.180.028.129.300;0.4378015025701858;0.6300863773545634;760.2;5.123.814.703.661.610;8.435.112;1,03E+36;High
55.1;Male;75.46;1.71;173.16;130.48;57.21;1.03;740.98;Yoga;3.099.599.096.122.130;2.01;3.98;1.99;25.81;3.0;-0.04;305.65;122.53;82.14;2107.0;Other;Dinner;Paleo;13.93;1081.34;28.8;143.56;Steamed;41.91;97.48;3.12;Dead Bugs;5.02;17.08;Strengthens shoulders;367.34;Shoulders, Upper Back;Wall;Intermediate;Abs;Middle;Seated cable rows;2.580.623.097.705.270;2451.98;0.4986174438616955;16.237.741.849.986.700;0.6319103061664509;0.7535227535227534;1366.02;5.207.042.522.066.230;7.567.203.999.999.990;1,28E+36;Very High
43.11;Male;42.32;1.65;161.97;147.87;58.91;1.31;1412.44;Strength;1.937.943.850.361.580;2.31;2.96;1.98;15.54;3.01;-0.01;254.52;102.45;68.05;1188.0;Other;Breakfast;Low-Carb;43.54;2184.49;16.69;141.73;Roasted;10.13;20.7;3.23;Pull-ups;4.03;17.99;Targets lower chest;340.45;Chest, Triceps;Step or Box;Advanced;Shoulders;Lower Chest;Leg raises;15.544.536.271.809;2040.33;0.4989781064827749;2.420.841.209.829.860;0.863186493304871;0.9129468420077792;-22.444.000.000.000.000;3.411.862.162.526.970;891.979;6,90E+34;Medium
28.07;Male;62.39;1.6;177.98;129.46;61.85;1.1;1456.84;HIIT;2.566.472.223.395.230;1.7;2.96;2.04;24.37;1.99;0.01;237.87;95.86;63.3;1613.0;Other;Snack;Vegetarian;42.53;1876.0;195.79;152.34;Steamed;59.33;87.53;4.71;Squats;4.0;16.88;Builds explosive power;353.89;Full Core;Parallel Bars or Chair;Intermediate;Legs;Middle;Leg curls;2.437.109.375;1904.62;0.4995642175342063;15.364.641.769.514.300;0.5821923706191339;0.7273850994493765;15.616.000.000.000.000;4.637.777.979.823.710;778.558;9,47E+33;High
47.26;Female;55.21;1.77;197.89;137.96;67.75;1.19;1142.4;Cardio;1.854.208.566.850.010;2.91;3.95;2.0;17.62;3.02;-0.0;244.33;96.07;64.8;1622.0;Other;Snack;Keto;43.35;2046.42;226.51;441.21;Roasted;25.53;85.5;1.9;Burpees;4.02;17.06;Improves cardiovascular fitness;327.81;Core, Lower Back;Parallel Bars or Chair;Beginner;Shoulders;Middle;Leg curls;1.762.264.994.094.920;1944.8;0.5025298231180585;17.400.833.182.394.400;0.5394959274627326;0.6971549850927283;4.795.999.999.999.990;4.497.291.450.242.100;7.801.877.999.999.990;5,07E+34;Low
40.19;Female;58.38;1.98;197.94;137.76;74.0;1.41;1527.88;Strength;16.590.586.411.950.800;2.51;2.98;2.04;14.89;2.99;0.98;353.74;141.3;93.87;1531.0;Other;Lunch;Vegan;10.46;1774.71;187.05;359.3;Raw;55.52;112.47;1.86;Push Ups;5.01;16.96;Builds lower body power and endurance;366.23;Legs, Shoulders, Core;Barbell;Intermediate;Chest;Wrist Extensors;Hammer curls;14.891.337.618.610.300;2824.99;0.5008725694604228;2.420.349.434.737.920;0.5144424721639502;0.6959684752955441;3.119.999.999.999.890;486.944.156.527.031;10.327.686;1,25E+35;Very High
37.62;Male;45.78;1.68;192.81;144.04;58.01;1.01;970.41;Cardio;22.184.111.896.569.400;2.4;2.97;2.01;16.22;3.0;-0.0;283.96;114.27;75.6;1273.0;Other;Dinner;Paleo;12.95;1226.2;8.51;346.22;Baked;58.48;117.8;3.24;Shoulder Press;3.99;17.97;Builds back strength;338.33;Shoulders;Pull-up Bar;Beginner;Forearms;Grip Strength;Barbell squats;162.202.380.952.381;2273.32;0.499639294072106;24.960.681.520.314.500;0.6382047477744807;0.7470566879311239;30.259.000.000.000.000;3.562.411.357.375.040;6.834.266;6,56E+35;Medium
47.07;Female;46.19;1.93;166.29;158.97;64.98;1.29;1699.96;HIIT;14.875.443.486.810.100;2.0;3.02;1.98;12.4;3.0;-0.02;286.08;114.44;76.48;1207.0;Other;Breakfast;Keto;0.65;701.86;93.89;203.85;Steamed;48.68;82.81;4.48;Renegade Rows;5.0;15.0;Strengthens shoulders;358.05;Back, Hamstrings, Glutes;Bench or Chair;Intermediate;Forearms;Lower Chest;Face pulls;12.400.332.894.842.800;2290.4;0.4996157876353475;24.775.925.525.005.400;0.9277465205803967;0.9559805159660834;-492.96;3.931.903.265.344.230;923.769;1,04E+35;High
20.25;Female;65.0;1.78;188.37;137.42;61.0;1.72;2461.49;HIIT;2.136.570.990.663.290;2.69;4.03;3.01;20.52;2.01;2.01;268.05;108.17;71.41;1841.0;Other;Breakfast;Low-Carb;12.82;1225.11;224.18;470.28;Grilled;6.74;44.35;3.92;Windshield Wipers;5.01;18.02;Improves unilateral leg strength and balance;365.49;Shoulders, Upper Back;Dumbbells or Barbell;Advanced;Shoulders;Middle;Hammer curls;20.515.086.478.979.900;2147.57;0.4992619565369231;1.664.153.846.153.840;0.5999842977153175;0.729521686043425;-6.204.899.999.999.990;5.111.228.856.068.850;12.572.856;1,23E+36;Very High
43.09;Female;82.77;1.95;180.9;160.0;70.01;1.91;2727.1;HIIT;25.874.976.008.752;3.5;4.99;2.98;21.77;3.99;0.0;279.38;111.49;74.12;2386.0;Other;Breakfast;Low-Carb;40.67;2477.44;97.57;163.25;Raw;57.02;42.17;1.5;Bear Crawls;3.99;20.93;Targets upper chest;339.44;Back, Hamstrings, Glutes;Resistance Band;Beginner;Forearms;Lower Chest;Barbell hip thrusts;21.767.258.382.643;2230.56;0.5010042321210817;13.469.856.228.101.900;0.8115249346198935;0.8844665561083471;-3.410.999.999.999.990;6.135.328.235.755.590;12.966.608;6,73E+34;Medium
40.24;Male;57.94;1.56;173.8;135.83;63.18;0.6;594.54;Strength;2.844.992.576.768.090;2.21;1.97;1.01;23.81;3.0;-0.01;197.27;78.69;52.41;1578.0;Other;Dinner;Keto;21.78;302.22;162.54;383.03;Roasted;54.79;49.56;1.57;Tricep Dips;5.01;16.1;Improves cardiovascular fitness;366.32;Lower Abs, Hip Flexors;None or Dumbbells;Intermediate;Legs;Upper;Towel pull-up;23.808.349.769.888.200;15.755.300.000.000.000;0.5008346397720131;13.581.290.990.680.000;0.6567528475863316;0.7815304948216341;983.46;4.145.611.301.020.560;439.584;1,26E+35;Very High
23.19;Female;71.29;1.72;164.05;168.98;73.63;1.25;1511.12;HIIT;2.906.737.110.623.730;1.5;2.0;1.0;24.1;3.02;-0.03;283.78;112.99;76.09;1692.0;Other;Lunch;Vegetarian;22.7;518.0;245.15;408.43;Baked;17.31;95.7;2.53;Deadlift;4.01;24.03;Improves balance and coordination;342.11;Shoulders;Cable Machine or Resistance Band;Advanced;Forearms;Posterior;Incline cable crossovers;24.097.485.127.095.700;2271.89;0.499636866221516;15.849.347.734.605.100;1.054.523.335.545.230;10.300.518.134.715.000;1.808.800.000.000.000;5.056.787.113.836.340;8.552.750.000.000.000;7,18E+34;Medium
29.31;Female;88.52;1.93;186.06;143.57;65.99;1.88;2206.37;Strength;2.542.948.504.498.450;3.52;5.01;3.04;23.76;2.99;3.0;383.39;153.72;103.23;2518.0;Other;Lunch;Low-Carb;1.24;1746.97;165.64;257.7;Roasted;26.81;98.44;3.58;Push-ups;4.0;21.95;Strengthens triceps and chest;373.33;Lower Abs, Hip Flexors;Box or Platform;Advanced;Abs;Grip Strength;Leg raises;2.376.439.635.963.380;3077.51;0.4983119469961104;1.736.556.710.347.940;0.6461230948613308;0.7716328066215199;3.116.300.000.000.000;6.600.981.983.817.960;14.037.207.999.999.900;1,47E+34;Very High
24.24;Male;59.64;1.5;199.14;132.03;60.01;1.24;892.8;Yoga;2.786.318.740.019.420;2.0;3.0;2.0;26.51;3.98;3.01;351.71;140.55;93.45;1674.0;Other;Dinner;Low-Carb;37.96;294.37;63.43;389.39;Roasted;41.9;77.67;4.65;Scissors Kicks;5.02;23.98;Improves coordination and cardiovascular health;368.04;Full Body, Core, Shoulders;Box or Platform;Beginner;Chest;Lats;Dumbbell curls;26.506.666.666.666.600;2810.09;0.5006387695767751;23.566.398.390.342.000;0.5176453676417739;0.663000903886713;781.2;4.302.239.503.452.410;9.127.392;1,30E+36;Very High
24.92;Male;59.83;1.51;185.39;161.05;53.98;1.61;1886.6;Strength;2.601.795.405.528.790;2.7;5.01;3.02;26.24;3.99;0.02;243.15;98.44;64.92;1754.0;Other;Lunch;Paleo;4.07;109.32;272.01;410.53;Boiled;50.59;117.72;2.9;Scissors Kicks;5.0;14.97;Builds explosive power;327.89;Full Body, Core, Shoulders;Wall;Advanced;Shoulders;Lower Chest;Hyperextensions;26.240.077.189.596.900;1950.64;0.4986055858590001;1.645.328.430.553.230;0.8147781751769274;0.8687092076163764;-1.325.999.999.999.990;442.634.580.887.212;10.558.058;5,08E+34;Low
50.5;Female;68.88;1.68;182.38;135.3;50.95;1.2;792.0;Yoga;25.907.588.975.094;2.0;2.0;1.0;24.4;2.02;0.01;203.28;80.82;54.08;2006.0;Other;Lunch;Vegan;20.16;468.96;298.41;309.93;Baked;47.47;55.25;1.67;Superman;4.01;22.18;Improves balance and leg strength;367.75;Upper Back, Rear Deltoids;Resistance Band;Advanced;Back;Lower;Face pulls;24.404.761.904.761.900;1623.12;0.5009611119325743;11.733.449.477.351.900;0.641786502320627;0.741857659831122;1214.0;5.103.485.271.395.520;882.6;1,30E+36;Very High
18.0;Male;87.26;1.94;161.15;139.09;72.02;1.73;2022.54;Strength;2.677.015.789.261.030;3.5;4.0;2.99;23.19;3.01;-0.02;208.09;81.97;55.04;2381.0;Other;Snack;Vegan;16.62;1911.9;219.71;396.16;Grilled;51.91;45.49;3.88;Bench Press;4.99;14.98;Builds chest strength;342.63;Shoulders, Upper Back;Parallel Bars or Chair;Intermediate;Forearms;Grip Strength;Lateral raises;23.185.248.166.648.900;1655.6;0.5027542884754772;0.9393765757506304;0.7524963536407495;0.86310890474713;35.846.000.000.000.000;639.003.602.229.082;11.854.998;7,27E+35;Medium
57.89;Male;82.51;1.87;171.09;143.27;55.01;1.56;2234.23;HIIT;2.629.265.711.690.420;3.51;3.99;3.02;23.6;3.02;-0.01;253.49;101.26;67.34;2074.0;Other;Dinner;Balanced;0.57;2310.83;227.47;236.66;Fried;26.69;10.82;3.29;Burpees;3.99;20.97;Targets upper chest;336.51;Glutes, Hamstrings, Core;Parallel Bars or Chair;Intermediate;Shoulders;Quads;Decline dumbbell press;2.359.518.430.609.960;2025.06;0.5007061519164865;1.227.245.182.402.130;0.7603376981392144;0.8373955228242446;-16.023.000.000.000.000;6.081.592.861.284.220;10.499.112;6,27E+34;Low
46.71;Male;85.38;1.86;186.5;129.47;63.0;1.86;1449.68;Yoga;2.596.446.218.826.540;3.47;4.99;2.99;24.68;3.97;-0.02;249.86;98.39;66.33;2390.0;Other;Snack;Keto;14.82;1867.89;225.21;344.89;Baked;56.86;80.67;4.59;Jumping Jacks;4.0;18.87;Improves coordination and cardiovascular health;347.13;Lower Abs, Hip Flexors;None or Dumbbell;Intermediate;Back;Grip Strength;Chest flyes;2.467.915.365.938.250;1989.97;0.5022387272169933;11.523.776.059.967.200;0.5382186234817814;0.6942091152815013;940.32;6.321.154.218.365.890;12.913.236;8,09E+34;Medium
28.17;Male;67.8;1.67;171.17;156.78;73.98;0.62;409.57;Yoga;27.476.999.795.149.300;2.29;2.98;1.01;24.31;3.0;0.03;165.44;66.64;44.35;1827.0;Other;Dinner;Vegan;33.48;2504.9;166.69;366.51;Boiled;30.81;18.85;1.33;Bicycle Crunches;4.99;20.92;Improves lower back strength;332.3;Glutes, Hamstrings, Core;Dumbbells;Intermediate;Arms;Lower;Romanian deadlifts;24.310.660.116.891.900;1327.47;0.498512207432183;0.9828908554572272;0.8519394999485544;0.9159315300578372;1417.43;4.917.059.413.888.870;412.052;5,66E+34;Low
39.68;Male;81.8;1.74;166.0;133.23;58.13;0.9;891.0;Strength;2.926.016.334.554.960;2.69;2.02;1.0;27.02;2.0;0.01;241.58;96.36;64.17;2068.0;Other;Snack;Low-Carb;48.36;2223.49;144.4;420.06;Fried;36.2;20.05;4.29;Thrusters;4.98;15.98;Improves posture and back strength;364.88;Lower Chest, Triceps;Box or Platform;Beginner;Shoulders;Lower Chest;Wrist curl;27.018.100.145.329.600;1929.29;0.5008681950354794;117.799.511.002.445;0.6962083989987947;0.8025903614457831;1177.0;5.786.518.638.334.030;656.784;1,22E+36;Very High
57.95;Male;65.68;1.75;168.89;128.02;57.17;0.62;408.83;Yoga;24.120.435.744.701.900;1.81;2.02;1.0;21.45;2.98;-0.04;224.25;90.39;60.05;1564.0;Other;Snack;Keto;37.2;594.07;60.05;446.56;Boiled;21.08;38.94;4.09;Scissors Kicks;4.01;23.0;Full body workout;330.08;Lower Abs;Kettlebell;Intermediate;Legs;Grip Strength;Bent-over lateral raises;214.465.306.122.449;17.990.099.999.999.900;0.4986075674954559;13.762.180.267.965.800;0.6341747225205874;0.7580081709988751;1155.17;498.376.978.028.798;4.092.992;5,36E+34;Low
44.72;Male;79.49;1.95;189.58;135.38;69.02;1.47;1942.02;HIIT;2.295.242.991.052.060;2.79;3.0;2.01;20.9;4.0;3.0;377.63;150.78;100.42;2351.0;Other;Snack;Balanced;36.17;672.82;141.15;215.53;Grilled;55.98;41.83;3.11;Kettlebell Swings;4.99;23.08;Strengthens shoulders;350.41;Biceps, Forearms;Parallel Bars or Chair;Beginner;Chest;Quads;Leg curls;20.904.667.981.591.000;3017.42;0.5005998502031537;1.896.842.370.109.440;0.5504313205043131;0.7141048633822132;408.98;6.124.511.346.412.710;10.302.054;8,73E+34;High
33.31;Female;63.44;1.63;186.2;120.22;73.96;1.56;1215.86;Yoga;22.987.216.437.152.100;2.72;5.02;2.99;23.88;3.99;-0.03;242.56;97.23;64.86;1673.0;Other;Snack;Balanced;27.32;1429.9;70.28;306.84;Raw;53.19;35.68;2.09;Plank;4.02;19.98;Targets abdominal muscles;336.12;Back, Core, Shoulders;Dumbbells or Barbell;Beginner;Back;Wrist Flexors;Triceps pushdowns;2.387.745.116.489.140;1942.9;0.4993772196201554;1.532.629.255.989.910;0.412152530292231;0.6456498388829216;4.571.400.000.000.000;4.885.690.989.227.060;10.486.944;6,21E+35;Low
35.65;Female;84.03;1.94;168.3;123.1;50.13;1.81;1410.71;Yoga;24.502.612.923.619.900;3.49;4.99;2.99;22.33;2.99;-0.01;245.72;97.96;65.56;2265.0;Other;Breakfast;Balanced;32.89;46.62;135.14;285.96;Steamed;21.03;86.4;2.59;Dead Bugs;3.99;24.95;Strengthens lower abs;367.82;Core, Shoulders, Legs;Pull-up Bar;Intermediate;Legs;Upper;Leg raises;2.232.702.731.427.350;1964.76;0.5002544840082249;11.657.741.282.875.100;0.6175002115596174;0.7314319667260842;854.29;6.344.045.436.028.210;13.315.084;1,30E+36;Very High
25.87;Male;51.82;2.0;172.95;133.01;53.96;0.75;909.15;HIIT;17.556.493.748.492.600;2.32;2.0;1.02;12.96;2.97;-0.01;216.05;85.93;57.44;1349.0;Other;Breakfast;Paleo;25.59;1162.68;271.41;157.92;Boiled;53.57;30.27;3.51;Shoulder Press;4.02;24.98;Improves coordination and cardiovascular health;355.79;Back, Core, Shoulders;Bench or Chair;Beginner;Shoulders;Quads;Seated cable rows;12.955;1724.88;0.5010203608366959;16.582.400.617.522.100;0.6643415413059921;0.7690662041052327;439.85;4.272.222.493.953.110;5.336.850.000.000.000;9,89E+34;High
